,time,marital,religious_attendance,age,gender,race,education,evangelical,political_views,affiliation,state,latino,intend_to_vote,registered_to_vote,preferred_candidate,vote_today_candidate,hc_pref,dt_pref,gj_pref,js_pref,id
0,2016/10/26 7:25:39 PM EST,Never been married,Once a week,21,Male,Asian or Asian-American,Some college attendence,No,Very liberal,Democrat,Florida,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,Dissatisfied,Very satisfied,0
1,2016/10/26 7:26:18 PM EST,Widowed,Never,51,Female,Latin American/Hispanic,Four year college degree/bachelor’s degree,No,Liberal,Democrat,California,Yes,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Satisfied,Very dissatisfied,Dissatisfied,Very dissatisfied,1
2,2016/10/26 7:26:19 PM EST,Never been married,Once or twice a month,20,Male,White,Some college attendence,Yes,Very conservative,Republican,Georgia,No,Yes,I'm absolutely certain that I'm registered to vote,Donald Trump (Republican),Donald Trump (Republican),Very dissatisfied,Satisfied,Neutral,Very dissatisfied,2
3,2016/10/26 7:26:21 PM EST,Never been married,Never,36,Male,White,Some college attendence,No,Very liberal,Independent,Oregon,No,Yes,I'm absolutely certain that I'm registered to vote,Jill Stein (Green),Jill Stein (Green),Very dissatisfied,Very dissatisfied,Satisfied,Very satisfied,3
4,2016/10/26 7:26:36 PM EST,Married,Once or twice a month,33,Male,Black or African-American,Some college attendence,Yes,Conservative,Republican,Florida,No,Yes,I'm absolutely certain that I'm registered to vote,Donald Trump (Republican),Donald Trump (Republican),Very satisfied,Very satisfied,Dissatisfied,Dissatisfied,4
5,2016/10/26 7:26:45 PM EST,Never been married,Never,25,Male,White,Some college attendence,No,Moderate,Democrat,Alabama,Yes,Yes,I'm absolutely certain that I'm registered to vote,Donald Trump (Republican),Donald Trump (Republican),Very dissatisfied,Satisfied,Neutral,Dissatisfied,5
6,2016/10/26 7:27:03 PM EST,Married,A few times a year,50,Female,White,Some college attendence,Yes,Conservative,Republican,Arkansas,Yes,Not very likely,"I'm probably registered to vote, but there's a chance my registration has lasped",Gary Johnson (Libertarian),Hillary Clinton (Democrat),Very dissatisfied,Satisfied,Satisfied,Dissatisfied,6
7,2016/10/26 7:27:18 PM EST,Married,Never,38,Female,White,Some college attendence,Yes,Conservative,Republican,Minnesota,No,Probably,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Neutral,Very dissatisfied,I have no preference about this candidate,I have no preference about this candidate,7
8,2016/10/26 7:27:36 PM EST,Married,Seldom,47,Male,White,Some college attendence,Yes,Liberal,Democrat,Alabama,No,Probably,I'm absolutely certain that I'm registered to vote,Jill Stein (Green),Donald Trump (Republican),Very dissatisfied,Dissatisfied,Dissatisfied,Satisfied,8
9,2016/10/26 7:27:41 PM EST,Never been married,Never,28,Female,White,Some college attendence,No,Moderate,Independent,Texas,No,Yes,I'm absolutely certain that I'm registered to vote,Hillary Clinton (Democrat),Hillary Clinton (Democrat),Neutral,Very dissatisfied,Neutral,Neutral,9
10,2016/10/26 7:27:58 PM EST,Married,Seldom,31,Female,White,High school graduate or GED,Yes,Moderate,Independent,Pennsylvania,No,Probably,I'm absolutely certain that I'm registered to vote,Gary Johnson (Libertarian),Jill Stein (Green),Very dissatisfied,Neutral,Very satisfied,Neutral,10
11,2016/10/26 7:28:03 PM EST,Separated,A few times a year,21,Female,Black or African-American,High school graduate or GED,No,Moderate,Republican,Arizona,Yes,Yes,I'm absolutely certain that I'm registered to vote,Donald Trump (Republican),Donald Trump (Republican),Very dissatisfied,Very satisfied,I have no preference about this candidate,Very dissatisfied,11
12,2016/10/26 7:28:09 PM EST,Married,Once a week,41,Female,White,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree",Yes,Conservative,Republican,California,No,Yes,I'm absolutely certain that I'm registered to vote,Donald Trump (Republican),Donald Trump (Republican),Very dissatisfied,Satisfied,Neutral,Neutral,12
13,2016/10/26 7:28:10 PM EST,Never been married,Never,18,Male,White,High school graduate or GED,No,Liberal,Independent,Virginia,No,No,I'm not registered to vote,Donald Trump (Republican),Donald Trump (Republican),Very dissatisfied,Neutral,Neutral,Neutral,13
